Material,Quantity,Weight,Type,Size Range,Price
Groundnut,37,15,Industry,8mm to 90mm,5209
Pressmud,59,32,Sugarcane Industry,12mm to 20mm,1572
Pressmud,57,21,Sugarcane Industry,12mm to 20mm,1672
Paddy Straw,27,47,Farming Land,12mm to 70mm,3135
Sawdust,30,20,Industry,8mm to 90mm,3848
Pressmud,53,31,Sugarcane Industry,12mm to 20mm,1622
Cowdung,79,30,Land,8mm to 20mm,3126
Sawdust,17,14,Industry,8mm to 90mm,3507
Paddy Straw,10,42,Farming Land,12mm to 70mm,3850
Paddy Straw,14,30,Farming Land,12mm to 70mm,3433
Sawdust,13,17,Industry,8mm to 90mm,3584
Cowdung,60,31,Land,8mm to 20mm,3568
Paddy Straw,25,38,Farming Land,12mm to 70mm,3137
Sawdust,22,27,Industry,8mm to 90mm,3959
Pressmud,56,31,Sugarcane Industry,12mm to 20mm,2185
Paddy Straw,17,42,Farming Land,12mm to 70mm,3220
Paddy Straw,10,35,Farming Land,12mm to 70mm,3856
Sawdust,10,26,Industry,8mm to 90mm,3708
Pressmud,59,39,Sugarcane Industry,12mm to 20mm,2123
Cowdung,79,50,Land,8mm to 20mm,3411
Pressmud,56,25,Sugarcane Industry,12mm to 20mm,2121
Pressmud,59,33,Sugarcane Industry,12mm to 20mm,2151
Paddy Straw,29,35,Farming Land,12mm to 70mm,3458
Paddy Straw,28,40,Farming Land,12mm to 70mm,3482
Sawdust,24,21,Industry,8mm to 90mm,4426
Pressmud,41,38,Sugarcane Industry,12mm to 20mm,2040
Pressmud,47,38,Sugarcane Industry,12mm to 20mm,2349
Pressmud,46,39,Sugarcane Industry,12mm to 20mm,2083
Paddy Straw,11,40,Farming Land,12mm to 70mm,3564
Groundnut,32,9,Industry,8mm to 90mm,4848
Sawdust,16,16,Industry,8mm to 90mm,3939
Groundnut,40,20,Industry,8mm to 90mm,4689
Paddy Straw,24,36,Farming Land,12mm to 70mm,2955
Pressmud,55,38,Sugarcane Industry,12mm to 20mm,1744
Groundnut,30,3,Industry,8mm to 90mm,5057
Cowdung,71,33,Land,8mm to 20mm,3891
Paddy Straw,30,35,Farming Land,12mm to 70mm,3852
Sawdust,10,12,Industry,8mm to 90mm,4009
Sawdust,26,27,Industry,8mm to 90mm,4309
Paddy Straw,29,47,Farming Land,12mm to 70mm,3144
Pressmud,48,39,Sugarcane Industry,12mm to 20mm,1746
Cowdung,68,37,Land,8mm to 20mm,3759
Groundnut,29,15,Industry,8mm to 90mm,5126
Cowdung,64,33,Land,8mm to 20mm,3107
Paddy Straw,23,44,Farming Land,12mm to 70mm,3123
Sawdust,25,10,Industry,8mm to 90mm,4491
Pressmud,47,23,Sugarcane Industry,12mm to 20mm,2233
Cowdung,74,44,Land,8mm to 20mm,3913
Paddy Straw,24,31,Farming Land,12mm to 70mm,3507
Cowdung,67,42,Land,8mm to 20mm,3071
Cowdung,79,46,Land,8mm to 20mm,3377
Pressmud,53,27,Sugarcane Industry,12mm to 20mm,2346
Pressmud,47,23,Sugarcane Industry,12mm to 20mm,2195
Groundnut,34,18,Industry,8mm to 90mm,4504
Pressmud,45,26,Sugarcane Industry,12mm to 20mm,2435
Pressmud,47,30,Sugarcane Industry,12mm to 20mm,1635
Groundnut,39,20,Industry,8mm to 90mm,5203
Paddy Straw,18,45,Farming Land,12mm to 70mm,3685
Cowdung,77,35,Land,8mm to 20mm,3154
Groundnut,29,20,Industry,8mm to 90mm,5010
Paddy Straw,21,31,Farming Land,12mm to 70mm,3689
Sawdust,28,28,Industry,8mm to 90mm,3809
Groundnut,35,9,Industry,8mm to 90mm,4691
Cowdung,80,39,Land,8mm to 20mm,3228
Sawdust,30,24,Industry,8mm to 90mm,4092
Paddy Straw,24,35,Farming Land,12mm to 70mm,3772
Paddy Straw,17,32,Farming Land,12mm to 70mm,3553
Cowdung,77,41,Land,8mm to 20mm,3274
Sawdust,13,12,Industry,8mm to 90mm,3520
Paddy Straw,16,49,Farming Land,12mm to 70mm,3313
Pressmud,47,20,Sugarcane Industry,12mm to 20mm,2362
Cowdung,63,36,Land,8mm to 20mm,3260
Cowdung,64,44,Land,8mm to 20mm,3239
Sawdust,14,29,Industry,8mm to 90mm,3746
Cowdung,77,31,Land,8mm to 20mm,3145
Pressmud,40,38,Sugarcane Industry,12mm to 20mm,1916
Sawdust,22,16,Industry,8mm to 90mm,3845
Sawdust,13,30,Industry,8mm to 90mm,4160
Pressmud,51,38,Sugarcane Industry,12mm to 20mm,2208
Groundnut,36,16,Industry,8mm to 90mm,5132
Cowdung,78,39,Land,8mm to 20mm,3722
Paddy Straw,20,45,Farming Land,12mm to 70mm,3192
Sawdust,14,25,Industry,8mm to 90mm,4315
Sawdust,26,16,Industry,8mm to 90mm,4089
Sawdust,29,14,Industry,8mm to 90mm,4175
Groundnut,27,4,Industry,8mm to 90mm,5426
Pressmud,45,31,Sugarcane Industry,12mm to 20mm,1883
Sawdust,17,10,Industry,8mm to 90mm,4044
Cowdung,76,49,Land,8mm to 20mm,3219
Pressmud,54,24,Sugarcane Industry,12mm to 20mm,1656
Groundnut,28,3,Industry,8mm to 90mm,5267
Pressmud,60,26,Sugarcane Industry,12mm to 20mm,1565
Pressmud,40,22,Sugarcane Industry,12mm to 20mm,2338
Sawdust,23,12,Industry,8mm to 90mm,4466
Pressmud,54,28,Sugarcane Industry,12mm to 20mm,1616
Pressmud,40,32,Sugarcane Industry,12mm to 20mm,2202
Groundnut,28,18,Industry,8mm to 90mm,4978
Sawdust,13,22,Industry,8mm to 90mm,3835
Pressmud,59,39,Sugarcane Industry,12mm to 20mm,2077
Paddy Straw,29,49,Farming Land,12mm to 70mm,3340
Cowdung,79,36,Land,8mm to 20mm,3303
Sawdust,13,30,Industry,8mm to 90mm,3835
Pressmud,45,31,Sugarcane Industry,12mm to 20mm,1740
Sawdust,29,22,Industry,8mm to 90mm,4350
Sawdust,15,16,Industry,8mm to 90mm,3768
Cowdung,69,48,Land,8mm to 20mm,3356
Paddy Straw,13,40,Farming Land,12mm to 70mm,3077
Pressmud,58,25,Sugarcane Industry,12mm to 20mm,2362
Paddy Straw,10,50,Farming Land,12mm to 70mm,3497
Paddy Straw,26,49,Farming Land,12mm to 70mm,3085
Paddy Straw,12,32,Farming Land,12mm to 70mm,3210
Cowdung,73,35,Land,8mm to 20mm,3357
Paddy Straw,10,42,Farming Land,12mm to 70mm,3062
Paddy Straw,14,33,Farming Land,12mm to 70mm,3007
Cowdung,76,39,Land,8mm to 20mm,3613
Pressmud,52,35,Sugarcane Industry,12mm to 20mm,2497
Groundnut,29,5,Industry,8mm to 90mm,4926
Paddy Straw,23,42,Farming Land,12mm to 70mm,2965
Groundnut,24,15,Industry,8mm to 90mm,5048
Pressmud,45,20,Sugarcane Industry,12mm to 20mm,1503
Paddy Straw,21,42,Farming Land,12mm to 70mm,3385
Pressmud,57,20,Sugarcane Industry,12mm to 20mm,1636
Sawdust,30,29,Industry,8mm to 90mm,3558
Cowdung,65,40,Land,8mm to 20mm,3909
Sawdust,11,26,Industry,8mm to 90mm,4347
Pressmud,52,36,Sugarcane Industry,12mm to 20mm,2391
Pressmud,58,37,Sugarcane Industry,12mm to 20mm,1861
Paddy Straw,23,50,Farming Land,12mm to 70mm,3287
Cowdung,77,33,Land,8mm to 20mm,3808
Sawdust,17,16,Industry,8mm to 90mm,4332
Pressmud,40,26,Sugarcane Industry,12mm to 20mm,2348
Groundnut,37,1,Industry,8mm to 90mm,5370
Groundnut,26,1,Industry,8mm to 90mm,5203
Cowdung,61,44,Land,8mm to 20mm,3352
Pressmud,59,30,Sugarcane Industry,12mm to 20mm,2223
Sawdust,16,26,Industry,8mm to 90mm,4227
Paddy Straw,16,47,Farming Land,12mm to 70mm,2935
Sawdust,18,23,Industry,8mm to 90mm,3941
Paddy Straw,23,30,Farming Land,12mm to 70mm,3125
Cowdung,73,45,Land,8mm to 20mm,3194
Paddy Straw,27,39,Farming Land,12mm to 70mm,3294
Cowdung,71,33,Land,8mm to 20mm,3342
Paddy Straw,21,37,Farming Land,12mm to 70mm,3393
Pressmud,57,34,Sugarcane Industry,12mm to 20mm,2314
Sawdust,17,20,Industry,8mm to 90mm,3934
Pressmud,47,28,Sugarcane Industry,12mm to 20mm,2070
Sawdust,19,14,Industry,8mm to 90mm,3939
Cowdung,74,46,Land,8mm to 20mm,3056
Sawdust,16,15,Industry,8mm to 90mm,3867
Paddy Straw,27,37,Farming Land,12mm to 70mm,3606
Groundnut,22,2,Industry,8mm to 90mm,4874
Pressmud,48,30,Sugarcane Industry,12mm to 20mm,2246
Cowdung,61,37,Land,8mm to 20mm,3067
Sawdust,29,27,Industry,8mm to 90mm,4116
Pressmud,52,26,Sugarcane Industry,12mm to 20mm,1855
Groundnut,22,0,Industry,8mm to 90mm,4767
Sawdust,13,20,Industry,8mm to 90mm,3968
Sawdust,18,29,Industry,8mm to 90mm,3957
Pressmud,54,39,Sugarcane Industry,12mm to 20mm,2354
Cowdung,80,34,Land,8mm to 20mm,3072
Groundnut,26,19,Industry,8mm to 90mm,5151
Paddy Straw,21,47,Farming Land,12mm to 70mm,3409
Cowdung,62,38,Land,8mm to 20mm,3265
Paddy Straw,19,47,Farming Land,12mm to 70mm,3395
Groundnut,38,10,Industry,8mm to 90mm,4764
Pressmud,56,25,Sugarcane Industry,12mm to 20mm,2446
Cowdung,61,45,Land,8mm to 20mm,3735
Pressmud,47,39,Sugarcane Industry,12mm to 20mm,2268
Sawdust,21,26,Industry,8mm to 90mm,4048
Pressmud,54,36,Sugarcane Industry,12mm to 20mm,2171
Pressmud,48,37,Sugarcane Industry,12mm to 20mm,1594
Paddy Straw,14,48,Farming Land,12mm to 70mm,2962
Groundnut,23,13,Industry,8mm to 90mm,5312
Cowdung,72,48,Land,8mm to 20mm,3331
Paddy Straw,11,38,Farming Land,12mm to 70mm,3201
Paddy Straw,23,37,Farming Land,12mm to 70mm,3037
Pressmud,57,32,Sugarcane Industry,12mm to 20mm,1540
Sawdust,24,22,Industry,8mm to 90mm,4199
Cowdung,76,47,Land,8mm to 20mm,3657
Paddy Straw,24,38,Farming Land,12mm to 70mm,3501
Pressmud,44,35,Sugarcane Industry,12mm to 20mm,1817
Sawdust,27,21,Industry,8mm to 90mm,4127
Paddy Straw,14,32,Farming Land,12mm to 70mm,3172
Groundnut,33,3,Industry,8mm to 90mm,4565
Paddy Straw,15,45,Farming Land,12mm to 70mm,3693
Cowdung,62,47,Land,8mm to 20mm,3440
Sawdust,11,26,Industry,8mm to 90mm,4500
Groundnut,37,4,Industry,8mm to 90mm,4563
Paddy Straw,11,45,Farming Land,12mm to 70mm,3486
Groundnut,33,5,Industry,8mm to 90mm,5445
Paddy Straw,27,30,Farming Land,12mm to 70mm,3249
Sawdust,25,24,Industry,8mm to 90mm,4173
Cowdung,66,34,Land,8mm to 20mm,3538
Groundnut,22,19,Industry,8mm to 90mm,4684
Pressmud,41,29,Sugarcane Industry,12mm to 20mm,2114
Paddy Straw,10,31,Farming Land,12mm to 70mm,3284
Groundnut,30,1,Industry,8mm to 90mm,5166
Paddy Straw,27,44,Farming Land,12mm to 70mm,3554
Groundnut,31,5,Industry,8mm to 90mm,5439
Cowdung,61,43,Land,8mm to 20mm,3743
Groundnut,28,9,Industry,8mm to 90mm,4633
Sawdust,13,23,Industry,8mm to 90mm,3878
Cowdung,71,46,Land,8mm to 20mm,3989
Sawdust,12,20,Industry,8mm to 90mm,3993
Paddy Straw,16,34,Farming Land,12mm to 70mm,3637
Paddy Straw,14,34,Farming Land,12mm to 70mm,2976
Groundnut,32,2,Industry,8mm to 90mm,5241
Cowdung,69,35,Land,8mm to 20mm,3176
Cowdung,60,40,Land,8mm to 20mm,3946
Pressmud,49,27,Sugarcane Industry,12mm to 20mm,2185
Paddy Straw,12,48,Farming Land,12mm to 70mm,3879
Pressmud,56,32,Sugarcane Industry,12mm to 20mm,1608
Paddy Straw,14,39,Farming Land,12mm to 70mm,3074
Pressmud,49,27,Sugarcane Industry,12mm to 20mm,1971
Paddy Straw,26,45,Farming Land,12mm to 70mm,3121
Groundnut,34,8,Industry,8mm to 90mm,4549
Groundnut,30,12,Industry,8mm to 90mm,5291
Pressmud,59,29,Sugarcane Industry,12mm to 20mm,2180
Sawdust,16,14,Industry,8mm to 90mm,4260
Sawdust,24,27,Industry,8mm to 90mm,4331
Groundnut,25,20,Industry,8mm to 90mm,5462
Cowdung,60,34,Land,8mm to 20mm,3919
Sawdust,13,27,Industry,8mm to 90mm,4450
Paddy Straw,13,44,Farming Land,12mm to 70mm,3731
Pressmud,56,23,Sugarcane Industry,12mm to 20mm,1571
Groundnut,33,14,Industry,8mm to 90mm,4591
Sawdust,11,22,Industry,8mm to 90mm,4353
Groundnut,20,6,Industry,8mm to 90mm,4846
Groundnut,36,18,Industry,8mm to 90mm,4722
Pressmud,58,32,Sugarcane Industry,12mm to 20mm,1911
Paddy Straw,20,39,Farming Land,12mm to 70mm,3573
Pressmud,55,29,Sugarcane Industry,12mm to 20mm,1686
Paddy Straw,26,33,Farming Land,12mm to 70mm,3308
Groundnut,33,7,Industry,8mm to 90mm,5183
Cowdung,67,45,Land,8mm to 20mm,3229
Paddy Straw,26,37,Farming Land,12mm to 70mm,3637
Paddy Straw,20,44,Farming Land,12mm to 70mm,3447
Groundnut,40,6,Industry,8mm to 90mm,5338
Sawdust,15,15,Industry,8mm to 90mm,4308
Pressmud,58,26,Sugarcane Industry,12mm to 20mm,2347
Paddy Straw,19,41,Farming Land,12mm to 70mm,3770
Paddy Straw,19,49,Farming Land,12mm to 70mm,2919
Cowdung,66,41,Land,8mm to 20mm,3472
Pressmud,58,40,Sugarcane Industry,12mm to 20mm,1601
Groundnut,32,4,Industry,8mm to 90mm,4726
Cowdung,70,49,Land,8mm to 20mm,3300
Sawdust,23,12,Industry,8mm to 90mm,3824
Paddy Straw,13,35,Farming Land,12mm to 70mm,3200
Cowdung,66,47,Land,8mm to 20mm,3870
Sawdust,13,17,Industry,8mm to 90mm,3882
Sawdust,17,15,Industry,8mm to 90mm,3946
Pressmud,48,26,Sugarcane Industry,12mm to 20mm,2458
Groundnut,30,20,Industry,8mm to 90mm,4574
Groundnut,28,1,Industry,8mm to 90mm,4732
Groundnut,32,4,Industry,8mm to 90mm,5391
Cowdung,63,38,Land,8mm to 20mm,3137
Cowdung,76,50,Land,8mm to 20mm,3224
Sawdust,16,26,Industry,8mm to 90mm,4054
Paddy Straw,26,41,Farming Land,12mm to 70mm,3793
Groundnut,24,20,Industry,8mm to 90mm,4760
Pressmud,54,30,Sugarcane Industry,12mm to 20mm,1674
Cowdung,79,38,Land,8mm to 20mm,3872
Groundnut,38,13,Industry,8mm to 90mm,5275
Pressmud,41,27,Sugarcane Industry,12mm to 20mm,1690
Sawdust,16,27,Industry,8mm to 90mm,4487
Sawdust,13,11,Industry,8mm to 90mm,3927
Paddy Straw,15,40,Farming Land,12mm to 70mm,3542
Sawdust,10,22,Industry,8mm to 90mm,3626
Pressmud,55,25,Sugarcane Industry,12mm to 20mm,2096
Groundnut,20,10,Industry,8mm to 90mm,4926
Pressmud,44,36,Sugarcane Industry,12mm to 20mm,2103
Cowdung,75,36,Land,8mm to 20mm,3255
Cowdung,71,43,Land,8mm to 20mm,3009
Sawdust,14,19,Industry,8mm to 90mm,3680
Pressmud,49,36,Sugarcane Industry,12mm to 20mm,1832
Groundnut,34,10,Industry,8mm to 90mm,4937
Paddy Straw,16,41,Farming Land,12mm to 70mm,3120
Cowdung,76,43,Land,8mm to 20mm,3202
Sawdust,15,29,Industry,8mm to 90mm,3670
Sawdust,29,12,Industry,8mm to 90mm,3895
Sawdust,16,29,Industry,8mm to 90mm,3756
Cowdung,69,50,Land,8mm to 20mm,3461
Pressmud,48,28,Sugarcane Industry,12mm to 20mm,2176
Cowdung,76,47,Land,8mm to 20mm,3471
Sawdust,12,14,Industry,8mm to 90mm,3667
Cowdung,65,36,Land,8mm to 20mm,3541
Paddy Straw,11,47,Farming Land,12mm to 70mm,3332
Groundnut,37,4,Industry,8mm to 90mm,5321
Pressmud,50,24,Sugarcane Industry,12mm to 20mm,2423
Cowdung,66,46,Land,8mm to 20mm,3250
Paddy Straw,28,42,Farming Land,12mm to 70mm,3695
Pressmud,54,26,Sugarcane Industry,12mm to 20mm,2041
Sawdust,23,30,Industry,8mm to 90mm,3981
Groundnut,40,18,Industry,8mm to 90mm,5478
Cowdung,62,34,Land,8mm to 20mm,3571
Cowdung,66,33,Land,8mm to 20mm,3802
Sawdust,29,25,Industry,8mm to 90mm,3848
Groundnut,22,0,Industry,8mm to 90mm,4943
Paddy Straw,13,46,Farming Land,12mm to 70mm,3388
Groundnut,34,11,Industry,8mm to 90mm,5125
Groundnut,28,12,Industry,8mm to 90mm,5422
Sawdust,27,23,Industry,8mm to 90mm,4461
Cowdung,60,50,Land,8mm to 20mm,3738
Cowdung,75,49,Land,8mm to 20mm,3615
Cowdung,73,43,Land,8mm to 20mm,3826
Paddy Straw,28,34,Farming Land,12mm to 70mm,3829
Groundnut,30,7,Industry,8mm to 90mm,5243
Groundnut,36,1,Industry,8mm to 90mm,5311
Groundnut,34,12,Industry,8mm to 90mm,5155
Groundnut,37,12,Industry,8mm to 90mm,4811
Sawdust,12,12,Industry,8mm to 90mm,3969
Pressmud,52,39,Sugarcane Industry,12mm to 20mm,2296
Groundnut,37,14,Industry,8mm to 90mm,4716
Cowdung,62,49,Land,8mm to 20mm,3826
Groundnut,21,0,Industry,8mm to 90mm,5059
Groundnut,33,10,Industry,8mm to 90mm,5051
Sawdust,11,22,Industry,8mm to 90mm,3546
Sawdust,14,14,Industry,8mm to 90mm,4016
Groundnut,39,1,Industry,8mm to 90mm,4529
Groundnut,30,10,Industry,8mm to 90mm,5454
Paddy Straw,20,37,Farming Land,12mm to 70mm,3007
Cowdung,78,46,Land,8mm to 20mm,3624
Groundnut,38,16,Industry,8mm to 90mm,5097
Groundnut,37,12,Industry,8mm to 90mm,4721
Sawdust,28,13,Industry,8mm to 90mm,3624
Cowdung,80,50,Land,8mm to 20mm,3540
Cowdung,64,32,Land,8mm to 20mm,3711
Cowdung,73,33,Land,8mm to 20mm,3543
Sawdust,24,18,Industry,8mm to 90mm,4025
Paddy Straw,11,34,Farming Land,12mm to 70mm,3382
Paddy Straw,18,39,Farming Land,12mm to 70mm,3436
Paddy Straw,24,33,Farming Land,12mm to 70mm,3832
Cowdung,60,32,Land,8mm to 20mm,3880
Cowdung,77,44,Land,8mm to 20mm,3972
Groundnut,27,3,Industry,8mm to 90mm,4644
Cowdung,72,45,Land,8mm to 20mm,3460
Sawdust,20,20,Industry,8mm to 90mm,3501
Cowdung,65,46,Land,8mm to 20mm,3505
Cowdung,63,47,Land,8mm to 20mm,3448
Cowdung,68,36,Land,8mm to 20mm,3316
Cowdung,68,33,Land,8mm to 20mm,3061
Paddy Straw,29,36,Farming Land,12mm to 70mm,3074
Cowdung,73,46,Land,8mm to 20mm,3791
Cowdung,64,42,Land,8mm to 20mm,3134
Groundnut,39,12,Industry,8mm to 90mm,5343
Pressmud,44,24,Sugarcane Industry,12mm to 20mm,1594
Paddy Straw,26,31,Farming Land,12mm to 70mm,3483
Pressmud,56,33,Sugarcane Industry,12mm to 20mm,2149
Pressmud,53,30,Sugarcane Industry,12mm to 20mm,1925
Groundnut,24,6,Industry,8mm to 90mm,5135
Pressmud,49,28,Sugarcane Industry,12mm to 20mm,2166
Cowdung,77,41,Land,8mm to 20mm,3259
Groundnut,27,9,Industry,8mm to 90mm,4963
Sawdust,21,19,Industry,8mm to 90mm,4256
Pressmud,49,32,Sugarcane Industry,12mm to 20mm,2016
Pressmud,42,20,Sugarcane Industry,12mm to 20mm,1769
Cowdung,76,30,Land,8mm to 20mm,3648
Paddy Straw,25,37,Farming Land,12mm to 70mm,2961
Pressmud,60,28,Sugarcane Industry,12mm to 20mm,2250
Groundnut,24,19,Industry,8mm to 90mm,5018
Paddy Straw,10,34,Farming Land,12mm to 70mm,3235
Pressmud,44,35,Sugarcane Industry,12mm to 20mm,1523
Pressmud,56,36,Sugarcane Industry,12mm to 20mm,1626
Groundnut,33,3,Industry,8mm to 90mm,4664
Cowdung,67,45,Land,8mm to 20mm,3905
Paddy Straw,14,47,Farming Land,12mm to 70mm,3867
Paddy Straw,18,32,Farming Land,12mm to 70mm,3450
Groundnut,38,20,Industry,8mm to 90mm,5003
Groundnut,36,10,Industry,8mm to 90mm,4789
Pressmud,59,38,Sugarcane Industry,12mm to 20mm,2348
Cowdung,68,46,Land,8mm to 20mm,3064
Sawdust,16,23,Industry,8mm to 90mm,4419
Sawdust,14,15,Industry,8mm to 90mm,4251
Sawdust,21,17,Industry,8mm to 90mm,3708
Pressmud,41,23,Sugarcane Industry,12mm to 20mm,1548
Pressmud,53,21,Sugarcane Industry,12mm to 20mm,1632
Pressmud,54,38,Sugarcane Industry,12mm to 20mm,1511
Pressmud,53,24,Sugarcane Industry,12mm to 20mm,1529
Cowdung,78,30,Land,8mm to 20mm,3315
Cowdung,80,41,Land,8mm to 20mm,3642
Cowdung,66,44,Land,8mm to 20mm,3001
Groundnut,28,17,Industry,8mm to 90mm,4720
Paddy Straw,12,40,Farming Land,12mm to 70mm,3009
Pressmud,56,39,Sugarcane Industry,12mm to 20mm,1877
Cowdung,70,46,Land,8mm to 20mm,3482
Paddy Straw,20,50,Farming Land,12mm to 70mm,3122
Cowdung,72,50,Land,8mm to 20mm,3294
Paddy Straw,10,45,Farming Land,12mm to 70mm,3514
Paddy Straw,29,34,Farming Land,12mm to 70mm,3228
Sawdust,28,11,Industry,8mm to 90mm,4269
Sawdust,28,26,Industry,8mm to 90mm,4132
Pressmud,45,37,Sugarcane Industry,12mm to 20mm,1750
Paddy Straw,19,49,Farming Land,12mm to 70mm,3775
Paddy Straw,28,39,Farming Land,12mm to 70mm,3710
Sawdust,22,20,Industry,8mm to 90mm,3780
Pressmud,58,20,Sugarcane Industry,12mm to 20mm,1604
Cowdung,71,39,Land,8mm to 20mm,3002
Sawdust,14,14,Industry,8mm to 90mm,3768
Groundnut,24,4,Industry,8mm to 90mm,5020
Groundnut,31,16,Industry,8mm to 90mm,5177
Cowdung,75,47,Land,8mm to 20mm,3198
Pressmud,41,21,Sugarcane Industry,12mm to 20mm,2476
Cowdung,65,49,Land,8mm to 20mm,3123
Groundnut,21,13,Industry,8mm to 90mm,5195
Pressmud,49,26,Sugarcane Industry,12mm to 20mm,2242
Cowdung,68,33,Land,8mm to 20mm,3407
Pressmud,55,40,Sugarcane Industry,12mm to 20mm,2381
Groundnut,25,5,Industry,8mm to 90mm,5231
Cowdung,63,30,Land,8mm to 20mm,3242
Groundnut,23,12,Industry,8mm to 90mm,5435
Pressmud,43,36,Sugarcane Industry,12mm to 20mm,1838
Paddy Straw,20,30,Farming Land,12mm to 70mm,2918
Pressmud,44,38,Sugarcane Industry,12mm to 20mm,1765
Pressmud,53,25,Sugarcane Industry,12mm to 20mm,2223
Sawdust,30,22,Industry,8mm to 90mm,4358
Sawdust,12,26,Industry,8mm to 90mm,3985
Cowdung,70,37,Land,8mm to 20mm,3817
Paddy Straw,12,47,Farming Land,12mm to 70mm,3894
Cowdung,71,43,Land,8mm to 20mm,3917
Pressmud,60,28,Sugarcane Industry,12mm to 20mm,2246
Cowdung,69,34,Land,8mm to 20mm,3732
Pressmud,48,29,Sugarcane Industry,12mm to 20mm,1583
Pressmud,42,33,Sugarcane Industry,12mm to 20mm,1891
Sawdust,23,16,Industry,8mm to 90mm,3720
Cowdung,71,47,Land,8mm to 20mm,3561
Sawdust,25,20,Industry,8mm to 90mm,3694
Pressmud,52,31,Sugarcane Industry,12mm to 20mm,1681
Pressmud,49,28,Sugarcane Industry,12mm to 20mm,1805
Cowdung,71,39,Land,8mm to 20mm,3799
Sawdust,23,21,Industry,8mm to 90mm,3726
Groundnut,22,15,Industry,8mm to 90mm,5176
Sawdust,20,11,Industry,8mm to 90mm,4107
Pressmud,45,40,Sugarcane Industry,12mm to 20mm,2061
Sawdust,23,11,Industry,8mm to 90mm,4377
Paddy Straw,16,31,Farming Land,12mm to 70mm,3038
Sawdust,19,16,Industry,8mm to 90mm,4016
Paddy Straw,28,32,Farming Land,12mm to 70mm,3426
Groundnut,26,13,Industry,8mm to 90mm,5229
Cowdung,78,49,Land,8mm to 20mm,3674
Pressmud,45,30,Sugarcane Industry,12mm to 20mm,1503
Groundnut,30,18,Industry,8mm to 90mm,4732
Cowdung,71,37,Land,8mm to 20mm,3654
Sawdust,20,24,Industry,8mm to 90mm,4257
Paddy Straw,13,38,Farming Land,12mm to 70mm,3724
Sawdust,16,30,Industry,8mm to 90mm,3869
Sawdust,12,11,Industry,8mm to 90mm,3758
Groundnut,27,16,Industry,8mm to 90mm,4921
Groundnut,21,14,Industry,8mm to 90mm,4541
Sawdust,26,16,Industry,8mm to 90mm,4102
Sawdust,17,18,Industry,8mm to 90mm,4112
Sawdust,20,27,Industry,8mm to 90mm,3789
Paddy Straw,16,35,Farming Land,12mm to 70mm,3630
Groundnut,26,3,Industry,8mm to 90mm,4621
Paddy Straw,17,36,Farming Land,12mm to 70mm,3127
Cowdung,77,39,Land,8mm to 20mm,3942
Paddy Straw,10,32,Farming Land,12mm to 70mm,3316
Pressmud,46,21,Sugarcane Industry,12mm to 20mm,2415
Pressmud,47,22,Sugarcane Industry,12mm to 20mm,1502
Groundnut,22,8,Industry,8mm to 90mm,5220
Groundnut,22,18,Industry,8mm to 90mm,5080
Cowdung,78,36,Land,8mm to 20mm,3067
Cowdung,64,33,Land,8mm to 20mm,3785
Cowdung,70,42,Land,8mm to 20mm,3861
Paddy Straw,27,33,Farming Land,12mm to 70mm,3022
Pressmud,40,28,Sugarcane Industry,12mm to 20mm,2493
Pressmud,59,24,Sugarcane Industry,12mm to 20mm,2279
Groundnut,33,8,Industry,8mm to 90mm,5240
Groundnut,26,20,Industry,8mm to 90mm,5306
Groundnut,27,0,Industry,8mm to 90mm,5294
Groundnut,39,3,Industry,8mm to 90mm,5491
Groundnut,29,6,Industry,8mm to 90mm,5493
Cowdung,60,42,Land,8mm to 20mm,3378
Cowdung,63,43,Land,8mm to 20mm,3097
Sawdust,14,18,Industry,8mm to 90mm,4042
Pressmud,53,35,Sugarcane Industry,12mm to 20mm,1552
Paddy Straw,26,45,Farming Land,12mm to 70mm,3755
Cowdung,72,41,Land,8mm to 20mm,3684
Paddy Straw,28,49,Farming Land,12mm to 70mm,2995
Paddy Straw,21,41,Farming Land,12mm to 70mm,3622
Cowdung,77,43,Land,8mm to 20mm,3554
Sawdust,25,23,Industry,8mm to 90mm,4387
Groundnut,30,7,Industry,8mm to 90mm,5416
Pressmud,47,21,Sugarcane Industry,12mm to 20mm,2256
Groundnut,30,12,Industry,8mm to 90mm,4629
Pressmud,45,24,Sugarcane Industry,12mm to 20mm,1554
Sawdust,15,25,Industry,8mm to 90mm,3982
Cowdung,62,48,Land,8mm to 20mm,3047
Sawdust,29,12,Industry,8mm to 90mm,4377
Sawdust,24,23,Industry,8mm to 90mm,4037
Sawdust,10,30,Industry,8mm to 90mm,4030
Groundnut,25,6,Industry,8mm to 90mm,5021
Paddy Straw,22,47,Farming Land,12mm to 70mm,3892
Pressmud,55,37,Sugarcane Industry,12mm to 20mm,2423
Pressmud,52,38,Sugarcane Industry,12mm to 20mm,2111
Groundnut,20,4,Industry,8mm to 90mm,5302
Cowdung,76,49,Land,8mm to 20mm,3802
Paddy Straw,22,39,Farming Land,12mm to 70mm,3160
Cowdung,79,48,Land,8mm to 20mm,3557
Cowdung,80,35,Land,8mm to 20mm,3885
Sawdust,23,29,Industry,8mm to 90mm,3913
Groundnut,38,17,Industry,8mm to 90mm,4802
Pressmud,57,23,Sugarcane Industry,12mm to 20mm,1571
